Record Type,Skip ID,Appearance ID,Session ID,Wikisurvey ID,Left Choice ID,Left Choice Text,Right Choice ID,Right Choice Text,Prompt ID,Reason,Created at,Updated at,Response Time (s),Missing Response Time Explanation,Valid,Hashed IP Address,URL Alias,User Agent,Referrer,Widget,Info
Bounce,NA,46561802,6156470,19754,1152612,R1.1 - Governance based on blockchain blockchain for transparent decision-making against poverty,1152614,R1.3 - Automation committed to the economic safety of employees and underpinned by education and innovation,43196962,NA,2020-11-09 18:43:05 UTC,2020-11-09 18:43:05 UTC,NA,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15",REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46567092,6157449,19754,1152612,R1.1 - Governance based on blockchain blockchain for transparent decision-making against poverty,1152614,R1.3 - Automation committed to the economic safety of employees and underpinned by education and innovation,43196962,NA,2020-11-10 20:14:27 UTC,2020-11-10 20:14:27 UTC,NA,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46567886,6157496,19754,1152613,"R1.2 - Realistic, objective and universal measurement of poverty guided by Big Data",1152614,R1.3 - Automation committed to the economic safety of employees and underpinned by education and innovation,43196963,NA,2020-11-10 20:59:59 UTC,2020-11-10 20:59:59 UTC,NA,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.193 Safari/537.36",REFERRER_NOT_FOUND,FALSE,NA
Stopped_Voting_Or_Skipping,NA,46761700,6169052,19754,1152614,R1.3 - Automation committed to the economic safety of employees and underpinned by education and innovation,1152612,R1.1 - Governance based on blockchain blockchain for transparent decision-making against poverty,43196966,NA,2020-11-19 07:31:31 UTC,2020-11-19 07:31:31 UTC,NA,"",TRUE,9b0a943365e0a131f09a6413e49171e2,SDG1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",http://dasci.es/,FALSE,NA
Stopped_Voting_Or_Skipping,NA,46872419,6173221,19754,1152613,"R1.2 - Realistic, objective and universal measurement of poverty guided by Big Data",1152614,R1.3 - Automation committed to the economic safety of employees and underpinned by education and innovation,43196963,NA,2020-11-22 10:39:48 UTC,2020-11-22 10:39:48 UTC,NA,"",TRUE,b8730e9e7f2c1df9ef2f9bb72cea4427,SDG1,"Mozilla/5.0 (Linux; Android 9; Mi A1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Mobile Safari/537.36",http://dasci.es/,FALSE,NA
Bounce,NA,46879621,6174302,19754,1152612,R1.1 - Governance based on blockchain blockchain for transparent decision-making against poverty,1152613,"R1.2 - Realistic, objective and universal measurement of poverty guided by Big Data",43196967,NA,2020-11-24 12:48:34 UTC,2020-11-24 12:48:34 UTC,NA,"",TRUE,d86d842f3bcd9c17daccc0358b00e5ed,SDG1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",REFERRER_NOT_FOUND,FALSE,NA
Stopped_Voting_Or_Skipping,NA,46880346,6174422,19754,1152614,R1.3 - Automation committed to the economic safety of employees and underpinned by education and innovation,1152612,R1.1 - Governance based on blockchain blockchain for transparent decision-making against poverty,43196966,NA,2020-11-24 16:37:41 UTC,2020-11-24 16:37:41 UTC,NA,"",TRUE,c064109a98a39523ace03e28600bb3d6,SDG1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763",DIRECT_VISIT,FALSE,NA
Stopped_Voting_Or_Skipping,NA,48103901,6217369,19754,1152612,R1.1 - Governance based on blockchain blockchain for transparent decision-making against poverty,1152614,R1.3 - Automation committed to the economic safety of employees and underpinned by education and innovation,43196962,NA,2020-11-30 18:44:03 UTC,2020-11-30 18:44:03 UTC,NA,"",TRUE,a4823ac651c8ade23724f313d4d1863e,SDG1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.67 Safari/537.36",http://dasci.es/,FALSE,NA
Bounce,NA,48163465,6220010,19754,1152612,R1.1 - Governance based on blockchain blockchain for transparent decision-making against poverty,1152614,R1.3 - Automation committed to the economic safety of employees and underpinned by education and innovation,43196962,NA,2020-12-02 07:42:19 UTC,2020-12-02 07:42:19 UTC,NA,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",REFERRER_NOT_FOUND,FALSE,NA
Skip,2670262,48460614,6228649,19754,1152612,R1.1 - Governance based on blockchain blockchain for transparent decision-making against poverty,1152613,"R1.2 - Realistic, objective and universal measurement of poverty guided by Big Data",43196967,like_both,2020-12-08 13:45:46 UTC,2020-12-08 13:45:46 UTC,6.897,"",TRUE,3f3f5d8aaba588da78f13a7c43d6f69c,SDG1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36",http://dasci.es/,FALSE,NA
Skip,2670263,48460615,6228649,19754,1152613,"R1.2 - Realistic, objective and universal measurement of poverty guided by Big Data",1152612,R1.1 - Governance based on blockchain blockchain for transparent decision-making against poverty,43196965,other,2020-12-08 13:45:52 UTC,2020-12-08 13:45:52 UTC,5.524,"",TRUE,3f3f5d8aaba588da78f13a7c43d6f69c,SDG1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36",http://dasci.es/,FALSE,NA
Stopped_Voting_Or_Skipping,NA,48460617,6228649,19754,1152614,R1.3 - Automation committed to the economic safety of employees and underpinned by education and innovation,1152613,"R1.2 - Realistic, objective and universal measurement of poverty guided by Big Data",43196964,NA,2020-12-08 13:45:52 UTC,2020-12-08 13:45:52 UTC,NA,"",TRUE,3f3f5d8aaba588da78f13a7c43d6f69c,SDG1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36",http://dasci.es/,FALSE,NA
Stopped_Voting_Or_Skipping,NA,48462887,6228799,19754,1152612,R1.1 - Governance based on blockchain blockchain for transparent decision-making against poverty,1152613,"R1.2 - Realistic, objective and universal measurement of poverty guided by Big Data",43196967,NA,2020-12-08 17:04:50 UTC,2020-12-08 17:04:50 UTC,NA,"",TRUE,63890affae368ec8e6badcfa1efbc7f9,SDG1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",http://dasci.es/,FALSE,NA
Bounce,NA,48479393,6230524,19754,1152614,R1.3 - Automation committed to the economic safety of employees and underpinned by education and innovation,1152613,"R1.2 - Realistic, objective and universal measurement of poverty guided by Big Data",43196964,NA,2020-12-10 10:25:48 UTC,2020-12-10 10:25:48 UTC,NA,"",TRUE,2a5b69d0792be0a172350a29a8dcfb19,SDG1,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1",REFERRER_NOT_FOUND,FALSE,NA
Stopped_Voting_Or_Skipping,NA,48483141,6230724,19754,1152612,R1.1 - Governance based on blockchain blockchain for transparent decision-making against poverty,1152613,"R1.2 - Realistic, objective and universal measurement of poverty guided by Big Data",43196967,NA,2020-12-10 16:25:47 UTC,2020-12-10 16:25:47 UTC,NA,"",TRUE,7007582fdabcd3dd2382299b4f0f0705,SDG1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",http://dasci.es/,FALSE,NA
Stopped_Voting_Or_Skipping,NA,48753329,6243658,19754,1152613,"R1.2 - Realistic, objective and universal measurement of poverty guided by Big Data",1152614,R1.3 - Automation committed to the economic safety of employees and underpinned by education and innovation,43196963,NA,2020-12-19 13:17:17 UTC,2020-12-19 13:17:17 UTC,NA,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",DIRECT_VISIT,FALSE,NA
