Vote ID,Session ID,Wikisurvey ID,Winner ID,Winner Text,Loser ID,Loser Text,Prompt ID,Appearance ID,Left Choice ID,Right Choice ID,Created at,Updated at,Response Time (s),Missing Response Time Explanation,Valid,Hashed IP Address,URL Alias,User Agent,Referrer,Widget,Info
39206728,6217408,19769,1152680,R16.1 - Machine Learning as a support tool for anticipating crime incidence and improving security response,1152683,R16.4 - Self-adaptive expert systems for judicial processing as support for the integration of the judicial system for citizens,43197212,48104248,1152680,1152683,2020-11-30 19:01:46 UTC,2020-11-30 19:01:46 UTC,147.426,"",TRUE,a4823ac651c8ade23724f313d4d1863e,SDG16,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.67 Safari/537.36",http://dasci.es/,FALSE,NA
39206732,6217408,19769,1152682,"R16.3 - Combination of AI techniques with other technological solutions (drones, IoT, etc.) as integrated tools for the fight against crime",1152681,"R16.2 - Safe and reliable institutions through the use of Blockchain to prevent institutional corruption, both publicly and privately",43197213,48104325,1152681,1152682,2020-11-30 19:01:49 UTC,2020-11-30 19:01:49 UTC,2.595,"",TRUE,a4823ac651c8ade23724f313d4d1863e,SDG16,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.67 Safari/537.36",http://dasci.es/,FALSE,NA
39206735,6217408,19769,1152682,"R16.3 - Combination of AI techniques with other technological solutions (drones, IoT, etc.) as integrated tools for the fight against crime",1152681,"R16.2 - Safe and reliable institutions through the use of Blockchain to prevent institutional corruption, both publicly and privately",43197213,48104329,1152681,1152682,2020-11-30 19:01:51 UTC,2020-11-30 19:01:51 UTC,1.7,"",TRUE,a4823ac651c8ade23724f313d4d1863e,SDG16,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.67 Safari/537.36",http://dasci.es/,FALSE,NA
39800641,6243678,19769,1152681,"R16.2 - Safe and reliable institutions through the use of Blockchain to prevent institutional corruption, both publicly and privately",1152683,R16.4 - Self-adaptive expert systems for judicial processing as support for the integration of the judicial system for citizens,43197215,48753477,1152681,1152683,2020-12-19 13:35:59 UTC,2020-12-19 13:35:59 UTC,22.751,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG16,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",http://allourideas.org/sdg16/about,FALSE,NA
39800642,6243678,19769,1152681,"R16.2 - Safe and reliable institutions through the use of Blockchain to prevent institutional corruption, both publicly and privately",1152680,R16.1 - Machine Learning as a support tool for anticipating crime incidence and improving security response,43197216,48753479,1152680,1152681,2020-12-19 13:36:05 UTC,2020-12-19 13:36:05 UTC,5.78,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG16,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",http://allourideas.org/sdg16/about,FALSE,NA
39800643,6243678,19769,1152682,"R16.3 - Combination of AI techniques with other technological solutions (drones, IoT, etc.) as integrated tools for the fight against crime",1152680,R16.1 - Machine Learning as a support tool for anticipating crime incidence and improving security response,43197217,48753480,1152682,1152680,2020-12-19 13:36:10 UTC,2020-12-19 13:36:10 UTC,4.936,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG16,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",http://allourideas.org/sdg16/about,FALSE,NA
39800644,6243678,19769,1152681,"R16.2 - Safe and reliable institutions through the use of Blockchain to prevent institutional corruption, both publicly and privately",1152683,R16.4 - Self-adaptive expert systems for judicial processing as support for the integration of the judicial system for citizens,43197215,48753481,1152681,1152683,2020-12-19 13:36:12 UTC,2020-12-19 13:36:12 UTC,1.34,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG16,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",http://allourideas.org/sdg16/about,FALSE,NA
39800645,6243678,19769,1152682,"R16.3 - Combination of AI techniques with other technological solutions (drones, IoT, etc.) as integrated tools for the fight against crime",1152680,R16.1 - Machine Learning as a support tool for anticipating crime incidence and improving security response,43197217,48753482,1152682,1152680,2020-12-19 13:36:13 UTC,2020-12-19 13:36:13 UTC,1.179,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG16,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",http://allourideas.org/sdg16/about,FALSE,NA
39800646,6243678,19769,1152683,R16.4 - Self-adaptive expert systems for judicial processing as support for the integration of the judicial system for citizens,1152680,R16.1 - Machine Learning as a support tool for anticipating crime incidence and improving security response,43197211,48753483,1152683,1152680,2020-12-19 13:36:17 UTC,2020-12-19 13:36:17 UTC,3.337,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG16,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",http://allourideas.org/sdg16/about,FALSE,NA
39800647,6243678,19769,1152682,"R16.3 - Combination of AI techniques with other technological solutions (drones, IoT, etc.) as integrated tools for the fight against crime",1152680,R16.1 - Machine Learning as a support tool for anticipating crime incidence and improving security response,43197217,48753484,1152682,1152680,2020-12-19 13:36:18 UTC,2020-12-19 13:36:18 UTC,1.322,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG16,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",http://allourideas.org/sdg16/about,FALSE,NA
