Record Type,Skip ID,Appearance ID,Session ID,Wikisurvey ID,Left Choice ID,Left Choice Text,Right Choice ID,Right Choice Text,Prompt ID,Reason,Created at,Updated at,Response Time (s),Missing Response Time Explanation,Valid,Hashed IP Address,URL Alias,User Agent,Referrer,Widget,Info
Bounce,NA,46561850,6156498,19769,1152682,"R16.3 - Combination of AI techniques with other technological solutions (drones, IoT, etc.) as integrated tools for the fight against crime",1152681,"R16.2 - Safe and reliable institutions through the use of Blockchain to prevent institutional corruption, both publicly and privately",43197210,NA,2020-11-09 18:52:18 UTC,2020-11-09 18:52:18 UTC,NA,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG16,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15",REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46567089,6157446,19769,1152683,R16.4 - Self-adaptive expert systems for judicial processing as support for the integration of the judicial system for citizens,1152680,R16.1 - Machine Learning as a support tool for anticipating crime incidence and improving security response,43197211,NA,2020-11-10 20:09:26 UTC,2020-11-10 20:09:26 UTC,NA,"",TRUE,c400ee737e5267b7698449373c0bcbf0,SDG16,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46568001,6157527,19769,1152682,"R16.3 - Combination of AI techniques with other technological solutions (drones, IoT, etc.) as integrated tools for the fight against crime",1152681,"R16.2 - Safe and reliable institutions through the use of Blockchain to prevent institutional corruption, both publicly and privately",43197210,NA,2020-11-10 21:17:04 UTC,2020-11-10 21:17:04 UTC,NA,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG16,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.193 Safari/537.36",REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46901126,6176387,19769,1152683,R16.4 - Self-adaptive expert systems for judicial processing as support for the integration of the judicial system for citizens,1152680,R16.1 - Machine Learning as a support tool for anticipating crime incidence and improving security response,43197211,NA,2020-11-25 21:48:06 UTC,2020-11-25 21:48:06 UTC,NA,"",TRUE,0ce6b8391e9c96ba102bee0fd9abfbba,SDG16,Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/),REFERRER_NOT_FOUND,FALSE,NA
Stopped_Voting_Or_Skipping,NA,48104332,6217408,19769,1152683,R16.4 - Self-adaptive expert systems for judicial processing as support for the integration of the judicial system for citizens,1152682,"R16.3 - Combination of AI techniques with other technological solutions (drones, IoT, etc.) as integrated tools for the fight against crime",43197214,NA,2020-11-30 19:01:51 UTC,2020-11-30 19:01:51 UTC,NA,"",TRUE,a4823ac651c8ade23724f313d4d1863e,SDG16,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.67 Safari/537.36",http://dasci.es/,FALSE,NA
Stopped_Voting_Or_Skipping,NA,48753493,6243678,19769,1152682,"R16.3 - Combination of AI techniques with other technological solutions (drones, IoT, etc.) as integrated tools for the fight against crime",1152683,R16.4 - Self-adaptive expert systems for judicial processing as support for the integration of the judicial system for citizens,43197219,NA,2020-12-19 13:36:42 UTC,2020-12-19 13:36:42 UTC,NA,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG16,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",http://allourideas.org/sdg16/about,FALSE,NA
