Vote ID,Session ID,Wikisurvey ID,Winner ID,Winner Text,Loser ID,Loser Text,Prompt ID,Appearance ID,Left Choice ID,Right Choice ID,Created at,Updated at,Response Time (s),Missing Response Time Explanation,Valid,Hashed IP Address,URL Alias,User Agent,Referrer,Widget,Info
39206669,6217407,19768,1152679,R15.5 - Big Data to efficiently integrate and analyze the data collected in large areas,1152675,R15.1 - AI for prediction and early detection of fires using aerial images and/or sensors,43197192,48104247,1152679,1152675,2020-11-30 18:59:48 UTC,2020-11-30 18:59:48 UTC,33.077,"",TRUE,a4823ac651c8ade23724f313d4d1863e,SDG15,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.67 Safari/537.36",http://dasci.es/,FALSE,NA
39800632,6243677,19768,1152679,R15.5 - Big Data to efficiently integrate and analyze the data collected in large areas,1152677,R15.3 - AI to optimize water consumption in crops,43197193,48753466,1152677,1152679,2020-12-19 13:34:41 UTC,2020-12-19 13:34:41 UTC,6.062,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG15,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",DIRECT_VISIT,FALSE,NA
39800633,6243677,19768,1152676,R15.2 - AI for early detection of diseases in crops and reducing losses,1152677,R15.3 - AI to optimize water consumption in crops,43197191,48753467,1152677,1152676,2020-12-19 13:34:47 UTC,2020-12-19 13:34:47 UTC,5.161,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG15,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",DIRECT_VISIT,FALSE,NA
39800634,6243677,19768,1152677,R15.3 - AI to optimize water consumption in crops,1152678,R15.4 - Incorporation of intelligent sensors with IoT technologies for intelligent detection in real time,43197195,48753468,1152677,1152678,2020-12-19 13:34:50 UTC,2020-12-19 13:34:50 UTC,2.84,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG15,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",DIRECT_VISIT,FALSE,NA
39800635,6243677,19768,1152676,R15.2 - AI for early detection of diseases in crops and reducing losses,1152677,R15.3 - AI to optimize water consumption in crops,43197197,48753470,1152676,1152677,2020-12-19 13:34:59 UTC,2020-12-19 13:34:59 UTC,3.397,"",FALSE,b53150a67d3ff4c1134ab165d3d5ac09,SDG15,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",DIRECT_VISIT,FALSE,NA
39800636,6243677,19768,1152679,R15.5 - Big Data to efficiently integrate and analyze the data collected in large areas,1152675,R15.1 - AI for prediction and early detection of fires using aerial images and/or sensors,43197192,48753471,1152679,1152675,2020-12-19 13:35:01 UTC,2020-12-19 13:35:01 UTC,2.084,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG15,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",DIRECT_VISIT,FALSE,NA
39800637,6243677,19768,1152679,R15.5 - Big Data to efficiently integrate and analyze the data collected in large areas,1152675,R15.1 - AI for prediction and early detection of fires using aerial images and/or sensors,43197190,48753472,1152675,1152679,2020-12-19 13:35:04 UTC,2020-12-19 13:35:04 UTC,2.311,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG15,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",DIRECT_VISIT,FALSE,NA
39800638,6243677,19768,1152676,R15.2 - AI for early detection of diseases in crops and reducing losses,1152678,R15.4 - Incorporation of intelligent sensors with IoT technologies for intelligent detection in real time,43197198,48753473,1152678,1152676,2020-12-19 13:35:06 UTC,2020-12-19 13:35:06 UTC,1.34,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG15,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",DIRECT_VISIT,FALSE,NA
39800639,6243677,19768,1152677,R15.3 - AI to optimize water consumption in crops,1152675,R15.1 - AI for prediction and early detection of fires using aerial images and/or sensors,43197199,48753474,1152675,1152677,2020-12-19 13:35:07 UTC,2020-12-19 13:35:07 UTC,1.152,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG15,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",DIRECT_VISIT,FALSE,NA
39800640,6243677,19768,1152679,R15.5 - Big Data to efficiently integrate and analyze the data collected in large areas,1152676,R15.2 - AI for early detection of diseases in crops and reducing losses,43197200,48753475,1152676,1152679,2020-12-19 13:35:15 UTC,2020-12-19 13:35:15 UTC,7.867,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG15,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",DIRECT_VISIT,FALSE,NA
