Record Type,Skip ID,Appearance ID,Session ID,Wikisurvey ID,Left Choice ID,Left Choice Text,Right Choice ID,Right Choice Text,Prompt ID,Reason,Created at,Updated at,Response Time (s),Missing Response Time Explanation,Valid,Hashed IP Address,URL Alias,User Agent,Referrer,Widget,Info
Bounce,NA,46561846,6156494,19766,1152669,"R13.3 - Creation of predictive models worldwide, applying pre-learned models in different areas of the world",1152667,R13.1 - Improve Natural Disaster Prediction Using Advanced AI Models,43197164,NA,2020-11-09 18:49:10 UTC,2020-11-09 18:49:10 UTC,NA,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG13,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15",REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46567987,6157517,19766,1152669,"R13.3 - Creation of predictive models worldwide, applying pre-learned models in different areas of the world",1152670,"R13.4 - AI to optimize urban traffic, thereby reducing pollution, through improvements in traffic signs",43197165,NA,2020-11-10 21:11:28 UTC,2020-11-10 21:11:28 UTC,NA,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG13,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.193 Safari/537.36",REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46580934,6158644,19766,1152667,R13.1 - Improve Natural Disaster Prediction Using Advanced AI Models,1152671,R13.5 - Augmented Reality and Conversational Agents to improve Environmental education,43197166,NA,2020-11-11 08:19:49 UTC,2020-11-11 08:19:49 UTC,NA,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG13,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.193 Safari/537.36",REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46901122,6176383,19766,1152667,R13.1 - Improve Natural Disaster Prediction Using Advanced AI Models,1152668,R13.2 - IoT sensor technologies to allow AI to make predictions of natural disasters in real time,43197167,NA,2020-11-25 21:47:39 UTC,2020-11-25 21:47:39 UTC,NA,"",TRUE,0ce6b8391e9c96ba102bee0fd9abfbba,SDG13,Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/),REFERRER_NOT_FOUND,FALSE,NA
Skip,2657745,48104236,6217404,19766,1152668,R13.2 - IoT sensor technologies to allow AI to make predictions of natural disasters in real time,1152667,R13.1 - Improve Natural Disaster Prediction Using Advanced AI Models,43197168,like_both,2020-11-30 18:58:33 UTC,2020-11-30 18:58:33 UTC,22.263,"",TRUE,a4823ac651c8ade23724f313d4d1863e,SDG13,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.67 Safari/537.36",http://dasci.es/,FALSE,NA
Skip,2657746,48104237,6217404,19766,1152670,"R13.4 - AI to optimize urban traffic, thereby reducing pollution, through improvements in traffic signs",1152668,R13.2 - IoT sensor technologies to allow AI to make predictions of natural disasters in real time,43197169,like_both,2020-11-30 18:58:43 UTC,2020-11-30 18:58:43 UTC,9.211,"",TRUE,a4823ac651c8ade23724f313d4d1863e,SDG13,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.67 Safari/537.36",http://dasci.es/,FALSE,NA
Skip,2657747,48104241,6217404,19766,1152669,"R13.3 - Creation of predictive models worldwide, applying pre-learned models in different areas of the world",1152668,R13.2 - IoT sensor technologies to allow AI to make predictions of natural disasters in real time,43197171,like_both,2020-11-30 18:59:05 UTC,2020-11-30 18:59:05 UTC,11.278,"",TRUE,a4823ac651c8ade23724f313d4d1863e,SDG13,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.67 Safari/537.36",http://dasci.es/,FALSE,NA
Stopped_Voting_Or_Skipping,NA,48104244,6217404,19766,1152669,"R13.3 - Creation of predictive models worldwide, applying pre-learned models in different areas of the world",1152667,R13.1 - Improve Natural Disaster Prediction Using Advanced AI Models,43197164,NA,2020-11-30 18:59:05 UTC,2020-11-30 18:59:05 UTC,NA,"",TRUE,a4823ac651c8ade23724f313d4d1863e,SDG13,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.67 Safari/537.36",http://dasci.es/,FALSE,NA
Stopped_Voting_Or_Skipping,NA,48753456,6243674,19766,1152671,R13.5 - Augmented Reality and Conversational Agents to improve Environmental education,1152668,R13.2 - IoT sensor technologies to allow AI to make predictions of natural disasters in real time,43197177,NA,2020-12-19 13:33:30 UTC,2020-12-19 13:33:30 UTC,NA,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG13,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",DIRECT_VISIT,FALSE,NA
