Record Type,Skip ID,Appearance ID,Session ID,Wikisurvey ID,Left Choice ID,Left Choice Text,Right Choice ID,Right Choice Text,Prompt ID,Reason,Created at,Updated at,Response Time (s),Missing Response Time Explanation,Valid,Hashed IP Address,URL Alias,User Agent,Referrer,Widget,Info
Bounce,NA,46451282,6144207,19628,1148731,R13.2 - Tecnologías IoT en sensores parar permitir a la IA hacer predicciones de catástrofes naturales en tiempo real,1148733,"R13.4 - IA para optimizar el tráfico urbano, y reducir así la contaminación, mediante mejoras en las señales de tráfico",43064518,NA,2020-10-27 10:37:58 UTC,2020-10-27 10:37:58 UTC,NA,"",TRUE,a2707e31d6e7862d49313975dff1b17f,ODS13,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",http://www.allourideas.org/questions/new,FALSE,NA
Bounce,NA,46567994,6157520,19628,1148731,R13.2 - Tecnologías IoT en sensores parar permitir a la IA hacer predicciones de catástrofes naturales en tiempo real,1148733,"R13.4 - IA para optimizar el tráfico urbano, y reducir así la contaminación, mediante mejoras en las señales de tráfico",43064518,NA,2020-11-10 21:13:23 UTC,2020-11-10 21:13:23 UTC,NA,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,ODS13,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.193 Safari/537.36",http://dasci.es/,FALSE,NA
Bounce,NA,46580954,6158645,19628,1148733,"R13.4 - IA para optimizar el tráfico urbano, y reducir así la contaminación, mediante mejoras en las señales de tráfico",1148732,"R13.3 - Creación de modelos predictivos a nivel mundial, aplicando modelos pre-aprendidos en distintas zonas del mundo",43064519,NA,2020-11-11 08:20:55 UTC,2020-11-11 08:20:55 UTC,NA,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,ODS13,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.193 Safari/537.36",REFERRER_NOT_FOUND,FALSE,NA
Stopped_Voting_Or_Skipping,NA,46715507,6166151,19628,1148734,R13.5 - Realidad Aumentada y Agentes Conversacionales para mejorar la educación Medio ambiental,1148731,R13.2 - Tecnologías IoT en sensores parar permitir a la IA hacer predicciones de catástrofes naturales en tiempo real,43064525,NA,2020-11-18 12:52:50 UTC,2020-11-18 12:52:50 UTC,NA,"",TRUE,f19315647bf36a2f6eaa8503ae2366a2,ODS13,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15",http://dasci.es/ia4ods/inter-ods-13.html,FALSE,NA
Bounce,NA,46865122,6172905,19628,1148732,"R13.3 - Creación de modelos predictivos a nivel mundial, aplicando modelos pre-aprendidos en distintas zonas del mundo",1148733,"R13.4 - IA para optimizar el tráfico urbano, y reducir así la contaminación, mediante mejoras en las señales de tráfico",43064522,NA,2020-11-21 20:52:06 UTC,2020-11-21 20:52:06 UTC,NA,"",TRUE,da8c3f8efa48edbfb43d2dd3e2d8cbdc,ODS13,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46905634,6177049,19628,1148730,R13.1 - Mejorar la predicción de catástrofes naturales mediante modelos avanzados de IA,1148734,R13.5 - Realidad Aumentada y Agentes Conversacionales para mejorar la educación Medio ambiental,43064526,NA,2020-11-26 09:42:48 UTC,2020-11-26 09:42:48 UTC,NA,"",TRUE,cf6711860e7f5b3790f0b07f9a91dbfc,ODS13,Mozilla/5.0 (TweetmemeBot/4.0; +http://datasift.com/bot.html) Gecko/20100101 Firefox/31.0,REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46905668,6177082,19628,1148734,R13.5 - Realidad Aumentada y Agentes Conversacionales para mejorar la educación Medio ambiental,1148731,R13.2 - Tecnologías IoT en sensores parar permitir a la IA hacer predicciones de catástrofes naturales en tiempo real,43064525,NA,2020-11-26 09:43:08 UTC,2020-11-26 09:43:08 UTC,NA,"",TRUE,89e5172a8b8bbf1ac056f17c248d6086,ODS13,WordPress/4.8.15; https://medialab.ugr.es,REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46905669,6177083,19628,1148734,R13.5 - Realidad Aumentada y Agentes Conversacionales para mejorar la educación Medio ambiental,1148732,"R13.3 - Creación de modelos predictivos a nivel mundial, aplicando modelos pre-aprendidos en distintas zonas del mundo",43064527,NA,2020-11-26 09:43:09 UTC,2020-11-26 09:43:09 UTC,NA,"",TRUE,89e5172a8b8bbf1ac056f17c248d6086,ODS13,WordPress/4.8.15; https://medialab.ugr.es,REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46905690,6177104,19628,1148732,"R13.3 - Creación de modelos predictivos a nivel mundial, aplicando modelos pre-aprendidos en distintas zonas del mundo",1148731,R13.2 - Tecnologías IoT en sensores parar permitir a la IA hacer predicciones de catástrofes naturales en tiempo real,43064528,NA,2020-11-26 09:43:24 UTC,2020-11-26 09:43:24 UTC,NA,"",TRUE,89e5172a8b8bbf1ac056f17c248d6086,ODS13,WordPress/4.8.15; https://medialab.ugr.es,REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46905707,6177121,19628,1148731,R13.2 - Tecnologías IoT en sensores parar permitir a la IA hacer predicciones de catástrofes naturales en tiempo real,1148734,R13.5 - Realidad Aumentada y Agentes Conversacionales para mejorar la educación Medio ambiental,43064529,NA,2020-11-26 09:43:33 UTC,2020-11-26 09:43:33 UTC,NA,"",TRUE,89e5172a8b8bbf1ac056f17c248d6086,ODS13,WordPress/4.8.15; https://medialab.ugr.es,REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46905736,6177150,19628,1148732,"R13.3 - Creación de modelos predictivos a nivel mundial, aplicando modelos pre-aprendidos en distintas zonas del mundo",1148730,R13.1 - Mejorar la predicción de catástrofes naturales mediante modelos avanzados de IA,43064530,NA,2020-11-26 09:44:00 UTC,2020-11-26 09:44:00 UTC,NA,"",TRUE,89e5172a8b8bbf1ac056f17c248d6086,ODS13,WordPress/4.8.15; https://medialab.ugr.es,REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46905737,6177151,19628,1148733,"R13.4 - IA para optimizar el tráfico urbano, y reducir así la contaminación, mediante mejoras en las señales de tráfico",1148732,"R13.3 - Creación de modelos predictivos a nivel mundial, aplicando modelos pre-aprendidos en distintas zonas del mundo",43064519,NA,2020-11-26 09:44:00 UTC,2020-11-26 09:44:00 UTC,NA,"",TRUE,89e5172a8b8bbf1ac056f17c248d6086,ODS13,WordPress/4.8.15; https://medialab.ugr.es,REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46905780,6177188,19628,1148734,R13.5 - Realidad Aumentada y Agentes Conversacionales para mejorar la educación Medio ambiental,1148733,"R13.4 - IA para optimizar el tráfico urbano, y reducir así la contaminación, mediante mejoras en las señales de tráfico",43064531,NA,2020-11-26 09:50:24 UTC,2020-11-26 09:50:24 UTC,NA,"",TRUE,89e5172a8b8bbf1ac056f17c248d6086,ODS13,WordPress/4.8.15; https://medialab.ugr.es,REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46905781,6177189,19628,1148734,R13.5 - Realidad Aumentada y Agentes Conversacionales para mejorar la educación Medio ambiental,1148732,"R13.3 - Creación de modelos predictivos a nivel mundial, aplicando modelos pre-aprendidos en distintas zonas del mundo",43064527,NA,2020-11-26 09:50:25 UTC,2020-11-26 09:50:25 UTC,NA,"",TRUE,89e5172a8b8bbf1ac056f17c248d6086,ODS13,WordPress/4.8.15; https://medialab.ugr.es,http://allourideas.org/ODS13?locale=es,FALSE,NA
