Wikisurvey ID,Idea ID,Idea Text,Wins,Losses,Times involved in Cant Decide,Score,User Submitted,Session ID,Created at,Last Activity,Active,Appearances on Left,Appearances on Right,Info
19766,1152670,"R13.4 - AI to optimize urban traffic, thereby reducing pollution, through improvements in traffic signs",4,0,1,83.3333,FALSE,6156469,2020-11-09 18:49:10 UTC,2020-12-19 13:33:25 UTC,TRUE,3,3,NA
19766,1152668,R13.2 - IoT sensor technologies to allow AI to make predictions of natural disasters in real time,4,1,3,71.4286,FALSE,6156469,2020-11-09 18:49:10 UTC,2020-12-19 13:33:30 UTC,TRUE,1,9,NA
19766,1152671,R13.5 - Augmented Reality and Conversational Agents to improve Environmental education,4,2,0,62.5,FALSE,6156469,2020-11-09 18:49:10 UTC,2020-12-19 13:33:28 UTC,TRUE,4,5,NA
19766,1152667,R13.1 - Improve Natural Disaster Prediction Using Advanced AI Models,1,3,1,33.3333,FALSE,6156469,2020-11-09 18:49:10 UTC,2020-12-19 13:33:23 UTC,TRUE,5,4,NA
19766,1152669,"R13.3 - Creation of predictive models worldwide, applying pre-learned models in different areas of the world",0,7,1,11.1111,FALSE,6156469,2020-11-09 18:49:10 UTC,2020-12-19 13:33:30 UTC,TRUE,10,2,NA
