Record Type,Skip ID,Appearance ID,Session ID,Wikisurvey ID,Left Choice ID,Left Choice Text,Right Choice ID,Right Choice Text,Prompt ID,Reason,Created at,Updated at,Response Time (s),Missing Response Time Explanation,Valid,Hashed IP Address,URL Alias,User Agent,Referrer,Widget,Info
Bounce,NA,46561847,6156495,19767,1152673,"R14.2 - Low-cost, highly reliable ocean monitoring technologies",1152674,R14.3 - Blockchain technology for the secure management of information systems and management of oceanic ecosystems,43197184,NA,2020-11-09 18:49:37 UTC,2020-11-09 18:49:37 UTC,NA,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG14,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15",REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46567995,6157521,19767,1152674,R14.3 - Blockchain technology for the secure management of information systems and management of oceanic ecosystems,1152673,"R14.2 - Low-cost, highly reliable ocean monitoring technologies",43197185,NA,2020-11-10 21:14:04 UTC,2020-11-10 21:14:04 UTC,NA,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG14,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.193 Safari/537.36",REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46901123,6176384,19767,1152674,R14.3 - Blockchain technology for the secure management of information systems and management of oceanic ecosystems,1152672,"R14.1 - Technologies for detection, quantification and monitoring of marine plastic debris with a wide range of action",43197186,NA,2020-11-25 21:47:46 UTC,2020-11-25 21:47:46 UTC,NA,"",TRUE,0ce6b8391e9c96ba102bee0fd9abfbba,SDG14,Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/),REFERRER_NOT_FOUND,FALSE,NA
Skip,2657748,48104255,6217406,19767,1152672,"R14.1 - Technologies for detection, quantification and monitoring of marine plastic debris with a wide range of action",1152673,"R14.2 - Low-cost, highly reliable ocean monitoring technologies",43197187,like_both,2020-11-30 18:59:35 UTC,2020-11-30 18:59:35 UTC,5.6,"",TRUE,a4823ac651c8ade23724f313d4d1863e,SDG14,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.67 Safari/537.36",http://dasci.es/,FALSE,NA
Stopped_Voting_Or_Skipping,NA,48104258,6217406,19767,1152674,R14.3 - Blockchain technology for the secure management of information systems and management of oceanic ecosystems,1152672,"R14.1 - Technologies for detection, quantification and monitoring of marine plastic debris with a wide range of action",43197186,NA,2020-11-30 18:59:35 UTC,2020-11-30 18:59:35 UTC,NA,"",TRUE,a4823ac651c8ade23724f313d4d1863e,SDG14,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.67 Safari/537.36",http://dasci.es/,FALSE,NA
Stopped_Voting_Or_Skipping,NA,48753465,6243676,19767,1152672,"R14.1 - Technologies for detection, quantification and monitoring of marine plastic debris with a wide range of action",1152673,"R14.2 - Low-cost, highly reliable ocean monitoring technologies",43197187,NA,2020-12-19 13:34:30 UTC,2020-12-19 13:34:30 UTC,NA,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG14,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",DIRECT_VISIT,FALSE,NA
