Wikisurvey ID,Idea ID,Idea Text,Wins,Losses,Times involved in Cant Decide,Score,User Submitted,Session ID,Created at,Last Activity,Active,Appearances on Left,Appearances on Right,Info
19767,1152672,"R14.1 - Technologies for detection, quantification and monitoring of marine plastic debris with a wide range of action",6,0,1,87.5,FALSE,6156469,2020-11-09 18:49:36 UTC,2020-12-19 13:34:30 UTC,TRUE,5,5,NA
19767,1152674,R14.3 - Blockchain technology for the secure management of information systems and management of oceanic ecosystems,1,3,0,33.3333,FALSE,6156469,2020-11-09 18:49:36 UTC,2020-12-19 13:34:27 UTC,TRUE,7,1,NA
19767,1152673,"R14.2 - Low-cost, highly reliable ocean monitoring technologies",2,6,1,30.0,FALSE,6156469,2020-11-09 18:49:36 UTC,2020-12-19 13:34:30 UTC,TRUE,3,9,NA
