Wikisurvey ID,Idea ID,Idea Text,Wins,Losses,Times involved in Cant Decide,Score,User Submitted,Session ID,Created at,Last Activity,Active,Appearances on Left,Appearances on Right,Info
19629,1148735,"R14.1 - Tecnologías de detección, cuantificación y seguimiento de detritos plásticos marinos de amplio radio de acción",86,5,19,93.5484,FALSE,6144206,2020-10-27 10:42:21 UTC,2021-01-07 17:40:54 UTC,TRUE,78,85,NA
19629,1148736,R14.2 - Tecnologías de monitorización oceánica de alta fiabilidad y bajo coste,58,38,19,60.2041,FALSE,6144206,2020-10-27 10:42:21 UTC,2021-01-07 17:40:58 UTC,TRUE,81,84,NA
19629,1148737,R14.3 - Tecnología blockchain para la gestión segura de sistemas de información y gestión de ecosistemas oceánicos,7,108,0,6.83761,FALSE,6144206,2020-10-27 10:42:21 UTC,2021-01-07 17:40:58 UTC,TRUE,96,86,NA
