Vote ID,Session ID,Wikisurvey ID,Winner ID,Winner Text,Loser ID,Loser Text,Prompt ID,Appearance ID,Left Choice ID,Right Choice ID,Created at,Updated at,Response Time (s),Missing Response Time Explanation,Valid,Hashed IP Address,URL Alias,User Agent,Referrer,Widget,Info
38082040,6172907,19610,1148255,R5.4 - IA para la detección de contenidos y comportamientos denigrantes o discriminatorios hacia mujeres y niñas en redes sociales,1148253,"R5.2 - Desarrollo, y cumplimiento, de una legislación contundente en defensa de las mujeres y niñas",43055054,46865124,1148255,1148253,2020-11-21 20:53:32 UTC,2020-11-21 20:53:32 UTC,15.586,"",TRUE,da8c3f8efa48edbfb43d2dd3e2d8cbdc,ODS5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",DIRECT_VISIT,FALSE,NA
38094990,6174341,19610,1148252,R5.1 - Formación básica y especializada en nuevas tecnologías para niñas y mujeres,1148254,R5.3 - IA para la detección de sesgos de género en procesos de selección u órganos deliberativos,43055056,46879731,1148252,1148254,2020-11-24 14:38:56 UTC,2020-11-24 14:38:56 UTC,241.292,"",TRUE,edffb1674ed4e49cc2c204f8c1ec1192,ODS5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",DIRECT_VISIT,FALSE,NA
38094991,6174341,19610,1148255,R5.4 - IA para la detección de contenidos y comportamientos denigrantes o discriminatorios hacia mujeres y niñas en redes sociales,1148252,R5.1 - Formación básica y especializada en nuevas tecnologías para niñas y mujeres,43055057,46879749,1148255,1148252,2020-11-24 14:38:59 UTC,2020-11-24 14:38:59 UTC,2.218,"",TRUE,edffb1674ed4e49cc2c204f8c1ec1192,ODS5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",DIRECT_VISIT,FALSE,NA
38094992,6174341,19610,1148253,"R5.2 - Desarrollo, y cumplimiento, de una legislación contundente en defensa de las mujeres y niñas",1148252,R5.1 - Formación básica y especializada en nuevas tecnologías para niñas y mujeres,43055055,46879750,1148252,1148253,2020-11-24 14:39:04 UTC,2020-11-24 14:39:04 UTC,4.924,"",TRUE,edffb1674ed4e49cc2c204f8c1ec1192,ODS5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",DIRECT_VISIT,FALSE,NA
38094993,6174341,19610,1148252,R5.1 - Formación básica y especializada en nuevas tecnologías para niñas y mujeres,1148254,R5.3 - IA para la detección de sesgos de género en procesos de selección u órganos deliberativos,43055056,46879751,1148252,1148254,2020-11-24 14:39:07 UTC,2020-11-24 14:39:07 UTC,2.62,"",TRUE,edffb1674ed4e49cc2c204f8c1ec1192,ODS5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",DIRECT_VISIT,FALSE,NA
38094994,6174341,19610,1148252,R5.1 - Formación básica y especializada en nuevas tecnologías para niñas y mujeres,1148255,R5.4 - IA para la detección de contenidos y comportamientos denigrantes o discriminatorios hacia mujeres y niñas en redes sociales,43055058,46879752,1148252,1148255,2020-11-24 14:39:10 UTC,2020-11-24 14:39:10 UTC,2.514,"",TRUE,edffb1674ed4e49cc2c204f8c1ec1192,ODS5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",DIRECT_VISIT,FALSE,NA
38094995,6174341,19610,1148255,R5.4 - IA para la detección de contenidos y comportamientos denigrantes o discriminatorios hacia mujeres y niñas en redes sociales,1148252,R5.1 - Formación básica y especializada en nuevas tecnologías para niñas y mujeres,43055058,46879753,1148252,1148255,2020-11-24 14:39:15 UTC,2020-11-24 14:39:15 UTC,4.922,"",TRUE,edffb1674ed4e49cc2c204f8c1ec1192,ODS5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",DIRECT_VISIT,FALSE,NA
38094996,6174341,19610,1148252,R5.1 - Formación básica y especializada en nuevas tecnologías para niñas y mujeres,1148253,"R5.2 - Desarrollo, y cumplimiento, de una legislación contundente en defensa de las mujeres y niñas",43055055,46879754,1148252,1148253,2020-11-24 14:39:19 UTC,2020-11-24 14:39:19 UTC,3.264,"",TRUE,edffb1674ed4e49cc2c204f8c1ec1192,ODS5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",DIRECT_VISIT,FALSE,NA
38094997,6174341,19610,1148255,R5.4 - IA para la detección de contenidos y comportamientos denigrantes o discriminatorios hacia mujeres y niñas en redes sociales,1148253,"R5.2 - Desarrollo, y cumplimiento, de una legislación contundente en defensa de las mujeres y niñas",43055059,46879755,1148253,1148255,2020-11-24 14:39:24 UTC,2020-11-24 14:39:24 UTC,5.093,"",TRUE,edffb1674ed4e49cc2c204f8c1ec1192,ODS5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",DIRECT_VISIT,FALSE,NA
38094998,6174341,19610,1148255,R5.4 - IA para la detección de contenidos y comportamientos denigrantes o discriminatorios hacia mujeres y niñas en redes sociales,1148252,R5.1 - Formación básica y especializada en nuevas tecnologías para niñas y mujeres,43055058,46879756,1148252,1148255,2020-11-24 14:39:27 UTC,2020-11-24 14:39:27 UTC,3.234,"",TRUE,edffb1674ed4e49cc2c204f8c1ec1192,ODS5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",DIRECT_VISIT,FALSE,NA
