Record Type,Skip ID,Appearance ID,Session ID,Wikisurvey ID,Left Choice ID,Left Choice Text,Right Choice ID,Right Choice Text,Prompt ID,Reason,Created at,Updated at,Response Time (s),Missing Response Time Explanation,Valid,Hashed IP Address,URL Alias,User Agent,Referrer,Widget,Info
Bounce,NA,46561843,6156491,19764,1152658,R11.2 - Virtual reality / augmented reality and mobile apps in the dissemination and inclusive use of city services,1152659,R11.3 - Unified management of urban data with Machine Learning,43197124,NA,2020-11-09 18:48:16 UTC,2020-11-09 18:48:16 UTC,NA,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG11,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15",REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46567972,6157512,19764,1152661,R11.5 - Intelligent action / rescue plans under the support of the IoT to support emergency situations,1152660,R11.4 - Transparency and security in commercial and tax payments through the use of blockchain,43197125,NA,2020-11-10 21:08:57 UTC,2020-11-10 21:08:57 UTC,NA,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG11,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.193 Safari/537.36",REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46901120,6176381,19764,1152661,R11.5 - Intelligent action / rescue plans under the support of the IoT to support emergency situations,1152657,"R11.1 - Digital Twins of the main services of the city, to provide ubiquity to the service, better inform the citizen, and monitoring social impact",43197126,NA,2020-11-25 21:47:22 UTC,2020-11-25 21:47:22 UTC,NA,"",TRUE,0ce6b8391e9c96ba102bee0fd9abfbba,SDG11,Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/),REFERRER_NOT_FOUND,FALSE,NA
Stopped_Voting_Or_Skipping,NA,48104230,6217401,19764,1152659,R11.3 - Unified management of urban data with Machine Learning,1152660,R11.4 - Transparency and security in commercial and tax payments through the use of blockchain,43197131,NA,2020-11-30 18:57:36 UTC,2020-11-30 18:57:36 UTC,NA,"",TRUE,a4823ac651c8ade23724f313d4d1863e,SDG11,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.67 Safari/537.36",http://dasci.es/,FALSE,NA
Stopped_Voting_Or_Skipping,NA,48753426,6243669,19764,1152660,R11.4 - Transparency and security in commercial and tax payments through the use of blockchain,1152658,R11.2 - Virtual reality / augmented reality and mobile apps in the dissemination and inclusive use of city services,43197136,NA,2020-12-19 13:25:47 UTC,2020-12-19 13:25:47 UTC,NA,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG11,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",DIRECT_VISIT,FALSE,NA
