Record Type,Skip ID,Appearance ID,Session ID,Wikisurvey ID,Left Choice ID,Left Choice Text,Right Choice ID,Right Choice Text,Prompt ID,Reason,Created at,Updated at,Response Time (s),Missing Response Time Explanation,Valid,Hashed IP Address,URL Alias,User Agent,Referrer,Widget,Info
Bounce,NA,46561851,6156499,19770,1152685,R17.2 - Codes of professional practice in organizational and professional environments under the use of AI and digital technologies,1152686,R17.3 - Drive global alliances in the widespread use of economically sustainable data collection,43197222,NA,2020-11-09 18:52:42 UTC,2020-11-09 18:52:42 UTC,NA,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG17,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15",REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46568005,6157531,19770,1152684,R17.1 - Alliances for AI and digital technologies based on ethical principles and multidisciplinary experts,1152687,R17.4 - Carry out government efforts to bring AI and digital technologies to the whole of society,43197223,NA,2020-11-10 21:18:24 UTC,2020-11-10 21:18:24 UTC,NA,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG17,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.193 Safari/537.36",REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46901127,6176388,19770,1152687,R17.4 - Carry out government efforts to bring AI and digital technologies to the whole of society,1152686,R17.3 - Drive global alliances in the widespread use of economically sustainable data collection,43197224,NA,2020-11-25 21:48:19 UTC,2020-11-25 21:48:19 UTC,NA,"",TRUE,0ce6b8391e9c96ba102bee0fd9abfbba,SDG17,Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/),REFERRER_NOT_FOUND,FALSE,NA
Stopped_Voting_Or_Skipping,NA,48104353,6217409,19770,1152685,R17.2 - Codes of professional practice in organizational and professional environments under the use of AI and digital technologies,1152684,R17.1 - Alliances for AI and digital technologies based on ethical principles and multidisciplinary experts,43197228,NA,2020-11-30 19:02:02 UTC,2020-11-30 19:02:02 UTC,NA,"",TRUE,a4823ac651c8ade23724f313d4d1863e,SDG17,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.67 Safari/537.36",http://dasci.es/,FALSE,NA
Stopped_Voting_Or_Skipping,NA,48753511,6243680,19770,1152685,R17.2 - Codes of professional practice in organizational and professional environments under the use of AI and digital technologies,1152686,R17.3 - Drive global alliances in the widespread use of economically sustainable data collection,43197222,NA,2020-12-19 13:37:43 UTC,2020-12-19 13:37:43 UTC,NA,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG17,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",DIRECT_VISIT,FALSE,NA
