Vote ID,Session ID,Wikisurvey ID,Winner ID,Winner Text,Loser ID,Loser Text,Prompt ID,Appearance ID,Left Choice ID,Right Choice ID,Created at,Updated at,Response Time (s),Missing Response Time Explanation,Valid,Hashed IP Address,URL Alias,User Agent,Referrer,Widget,Info
39206488,6217388,19760,1152642,R7.4 - Intelligent and robotic systems to reduce the inspection and maintenance costs of energy facilities,1152639,R7.1 - Data compression and distributed computing technologies to reduce energy consumption in data storage and processing centers (data centers),43197064,48104021,1152639,1152642,2020-11-30 18:50:05 UTC,2020-11-30 18:50:05 UTC,15.408,"",TRUE,a4823ac651c8ade23724f313d4d1863e,SDG7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.67 Safari/537.36",http://dasci.es/,FALSE,NA
39206493,6217388,19760,1152640,"R7.2 - High-fidelity models for long-term prediction of renewable energy resources (wind, solar irradiation, etc.)",1152641,R7.3 - Blockchain technology for the secure management of smart electrical grids,43197065,48104035,1152640,1152641,2020-11-30 18:50:10 UTC,2020-11-30 18:50:10 UTC,4.675,"",TRUE,a4823ac651c8ade23724f313d4d1863e,SDG7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.67 Safari/537.36",http://dasci.es/,FALSE,NA
39800556,6243665,19760,1152641,R7.3 - Blockchain technology for the secure management of smart electrical grids,1152643,R7.5 - Blockchain to control traceability and better monitoring of financial flows for investment in clean and renewable energy in developing countries,43197060,48753377,1152643,1152641,2020-12-19 13:21:57 UTC,2020-12-19 13:21:57 UTC,9.513,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",DIRECT_VISIT,FALSE,NA
39800557,6243665,19760,1152639,R7.1 - Data compression and distributed computing technologies to reduce energy consumption in data storage and processing centers (data centers),1152641,R7.3 - Blockchain technology for the secure management of smart electrical grids,43197067,48753378,1152641,1152639,2020-12-19 13:22:01 UTC,2020-12-19 13:22:01 UTC,4.143,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",DIRECT_VISIT,FALSE,NA
39800558,6243665,19760,1152639,R7.1 - Data compression and distributed computing technologies to reduce energy consumption in data storage and processing centers (data centers),1152640,"R7.2 - High-fidelity models for long-term prediction of renewable energy resources (wind, solar irradiation, etc.)",43197068,48753379,1152639,1152640,2020-12-19 13:22:06 UTC,2020-12-19 13:22:06 UTC,4.691,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",DIRECT_VISIT,FALSE,NA
39800559,6243665,19760,1152642,R7.4 - Intelligent and robotic systems to reduce the inspection and maintenance costs of energy facilities,1152643,R7.5 - Blockchain to control traceability and better monitoring of financial flows for investment in clean and renewable energy in developing countries,43197069,48753380,1152642,1152643,2020-12-19 13:22:11 UTC,2020-12-19 13:22:11 UTC,4.712,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",DIRECT_VISIT,FALSE,NA
39800560,6243665,19760,1152640,"R7.2 - High-fidelity models for long-term prediction of renewable energy resources (wind, solar irradiation, etc.)",1152643,R7.5 - Blockchain to control traceability and better monitoring of financial flows for investment in clean and renewable energy in developing countries,43197070,48753381,1152643,1152640,2020-12-19 13:22:18 UTC,2020-12-19 13:22:18 UTC,7.263,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",DIRECT_VISIT,FALSE,NA
39800561,6243665,19760,1152643,R7.5 - Blockchain to control traceability and better monitoring of financial flows for investment in clean and renewable energy in developing countries,1152642,R7.4 - Intelligent and robotic systems to reduce the inspection and maintenance costs of energy facilities,43197071,48753382,1152643,1152642,2020-12-19 13:22:24 UTC,2020-12-19 13:22:24 UTC,5.017,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",DIRECT_VISIT,FALSE,NA
39800562,6243665,19760,1152639,R7.1 - Data compression and distributed computing technologies to reduce energy consumption in data storage and processing centers (data centers),1152643,R7.5 - Blockchain to control traceability and better monitoring of financial flows for investment in clean and renewable energy in developing countries,43197072,48753383,1152639,1152643,2020-12-19 13:22:26 UTC,2020-12-19 13:22:26 UTC,1.783,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",DIRECT_VISIT,FALSE,NA
