Wikisurvey ID,Idea ID,Idea Text,Wins,Losses,Times involved in Cant Decide,Score,User Submitted,Session ID,Created at,Last Activity,Active,Appearances on Left,Appearances on Right,Info
19760,1152639,R7.1 - Data compression and distributed computing technologies to reduce energy consumption in data storage and processing centers (data centers),3,1,0,66.6667,FALSE,6156469,2020-11-09 18:46:24 UTC,2020-12-19 13:22:26 UTC,TRUE,4,2,NA
19760,1152642,R7.4 - Intelligent and robotic systems to reduce the inspection and maintenance costs of energy facilities,2,1,0,60.0,FALSE,6156469,2020-11-09 18:46:24 UTC,2020-12-19 13:22:24 UTC,TRUE,1,3,NA
19760,1152640,"R7.2 - High-fidelity models for long-term prediction of renewable energy resources (wind, solar irradiation, etc.)",2,1,0,60.0,FALSE,6156469,2020-11-09 18:46:24 UTC,2020-12-19 13:22:18 UTC,TRUE,2,3,NA
19760,1152641,R7.3 - Blockchain technology for the secure management of smart electrical grids,1,2,2,40.0,FALSE,6156469,2020-11-09 18:46:24 UTC,2020-12-19 13:22:01 UTC,TRUE,4,6,NA
19760,1152643,R7.5 - Blockchain to control traceability and better monitoring of financial flows for investment in clean and renewable energy in developing countries,1,4,2,28.5714,FALSE,6156469,2020-11-09 18:46:24 UTC,2020-12-19 13:22:26 UTC,TRUE,6,3,NA
