Wikisurvey ID,Idea ID,Idea Text,Wins,Losses,Times involved in Cant Decide,Score,User Submitted,Session ID,Created at,Last Activity,Active,Appearances on Left,Appearances on Right,Info
19612,1148264,"R7.2 - Modelos de alta fidelidad para la predicción a largo plazo de los recursos de energía renovable (viento, irradiación solar, etc.)",24,14,3,62.5,FALSE,6143730,2020-10-26 16:21:30 UTC,2021-01-07 17:48:07 UTC,TRUE,37,36,NA
19612,1148266,R7.4 - Sistemas inteligentes y robóticos para la reducción de costes de inspección y mantenimiento de instalaciones energéticas,27,17,3,60.8696,FALSE,6143730,2020-10-26 16:21:30 UTC,2021-01-07 17:47:51 UTC,TRUE,48,40,NA
19612,1148267,R7.5 - Blockchain para el control de la trazabilidad y un mejor seguimiento de flujos financieros para inversión en energías limpias y renovables en países en vías de desarrollo,21,23,4,47.8261,FALSE,6143730,2020-10-26 16:21:30 UTC,2021-01-07 17:48:07 UTC,TRUE,32,44,NA
19612,1148263,R7.1 - Tecnologías de compresión de datos y de computación distribuida para reducir el consumo energético de los centros de almacenamiento y procesado de datos (data centers),13,21,4,38.8889,FALSE,6143730,2020-10-26 16:21:30 UTC,2021-01-05 10:18:22 UTC,TRUE,40,35,NA
19612,1148265,R7.3 - Tecnología blockchain para la gestión segura de redes eléctricas inteligentes,12,22,6,36.1111,FALSE,6143730,2020-10-26 16:21:30 UTC,2021-01-07 17:47:53 UTC,TRUE,37,39,NA
