Vote ID,Session ID,Wikisurvey ID,Winner ID,Winner Text,Loser ID,Loser Text,Prompt ID,Appearance ID,Left Choice ID,Right Choice ID,Created at,Updated at,Response Time (s),Missing Response Time Explanation,Valid,Hashed IP Address,URL Alias,User Agent,Referrer,Widget,Info
38095648,6174449,19606,1148204,"R2.5 - Promover una alimentación sostenible, saludable y responsable en la población",1148202,R2.3 - Producción y suministro de alimento trazables bajo Inteligencia Artificial y Blockchain,43053925,46880519,1148202,1148204,2020-11-24 17:20:29 UTC,2020-11-24 17:20:29 UTC,13.097,"",TRUE,1fc57b4b67b3fd163877275c9ac675b9,ODS2,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:83.0) Gecko/20100101 Firefox/83.0,DIRECT_VISIT,FALSE,NA
38096139,6174559,19606,1148204,"R2.5 - Promover una alimentación sostenible, saludable y responsable en la población",1148202,R2.3 - Producción y suministro de alimento trazables bajo Inteligencia Artificial y Blockchain,43053929,46881243,1148204,1148202,2020-11-24 20:19:41 UTC,2020-11-24 20:19:41 UTC,12.158,"",TRUE,5e5d312bcfd6a20d515b2cf71c7c6919,ODS2,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0,http://dasci.es/ia4ods/inter-ods-2.html,FALSE,NA
38096140,6174559,19606,1148203,R2.4 - Sistemas de alerta temprana para anticiparse a riesgos en el sustento alimentario seguro,1148201,R2.2 - Decisiones equitativas para el sustento alimentario mediante gobernanza y Big Data,43053930,46881244,1148201,1148203,2020-11-24 20:19:55 UTC,2020-11-24 20:19:55 UTC,13.642,"",TRUE,5e5d312bcfd6a20d515b2cf71c7c6919,ODS2,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0,http://dasci.es/ia4ods/inter-ods-2.html,FALSE,NA
38096141,6174559,19606,1148204,"R2.5 - Promover una alimentación sostenible, saludable y responsable en la población",1148203,R2.4 - Sistemas de alerta temprana para anticiparse a riesgos en el sustento alimentario seguro,43053923,46881245,1148203,1148204,2020-11-24 20:20:04 UTC,2020-11-24 20:20:04 UTC,8.484,"",TRUE,5e5d312bcfd6a20d515b2cf71c7c6919,ODS2,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0,http://dasci.es/ia4ods/inter-ods-2.html,FALSE,NA
38096142,6174559,19606,1148204,"R2.5 - Promover una alimentación sostenible, saludable y responsable en la población",1148203,R2.4 - Sistemas de alerta temprana para anticiparse a riesgos en el sustento alimentario seguro,43053931,46881246,1148204,1148203,2020-11-24 20:20:11 UTC,2020-11-24 20:20:11 UTC,7.069,"",TRUE,5e5d312bcfd6a20d515b2cf71c7c6919,ODS2,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0,http://dasci.es/ia4ods/inter-ods-2.html,FALSE,NA
38096143,6174559,19606,1148203,R2.4 - Sistemas de alerta temprana para anticiparse a riesgos en el sustento alimentario seguro,1148200,R2.1 - Plataformas accesibles de integración de datos sobre producción agroalimentaria,43053926,46881247,1148200,1148203,2020-11-24 20:20:16 UTC,2020-11-24 20:20:16 UTC,5.423,"",TRUE,5e5d312bcfd6a20d515b2cf71c7c6919,ODS2,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0,http://dasci.es/ia4ods/inter-ods-2.html,FALSE,NA
38096144,6174559,19606,1148201,R2.2 - Decisiones equitativas para el sustento alimentario mediante gobernanza y Big Data,1148202,R2.3 - Producción y suministro de alimento trazables bajo Inteligencia Artificial y Blockchain,43053932,46881249,1148201,1148202,2020-11-24 20:20:24 UTC,2020-11-24 20:20:24 UTC,7.593,"",TRUE,5e5d312bcfd6a20d515b2cf71c7c6919,ODS2,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0,http://dasci.es/ia4ods/inter-ods-2.html,FALSE,NA
38096145,6174559,19606,1148203,R2.4 - Sistemas de alerta temprana para anticiparse a riesgos en el sustento alimentario seguro,1148200,R2.1 - Plataformas accesibles de integración de datos sobre producción agroalimentaria,43053926,46881250,1148200,1148203,2020-11-24 20:20:29 UTC,2020-11-24 20:20:29 UTC,4.77,"",TRUE,5e5d312bcfd6a20d515b2cf71c7c6919,ODS2,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0,http://dasci.es/ia4ods/inter-ods-2.html,FALSE,NA
38096146,6174559,19606,1148204,"R2.5 - Promover una alimentación sostenible, saludable y responsable en la población",1148201,R2.2 - Decisiones equitativas para el sustento alimentario mediante gobernanza y Big Data,43053933,46881251,1148201,1148204,2020-11-24 20:20:32 UTC,2020-11-24 20:20:32 UTC,3.0,"",TRUE,5e5d312bcfd6a20d515b2cf71c7c6919,ODS2,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0,http://dasci.es/ia4ods/inter-ods-2.html,FALSE,NA
38096147,6174559,19606,1148204,"R2.5 - Promover una alimentación sostenible, saludable y responsable en la población",1148202,R2.3 - Producción y suministro de alimento trazables bajo Inteligencia Artificial y Blockchain,43053929,46881252,1148204,1148202,2020-11-24 20:20:37 UTC,2020-11-24 20:20:37 UTC,3.958,"",TRUE,5e5d312bcfd6a20d515b2cf71c7c6919,ODS2,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0,http://dasci.es/ia4ods/inter-ods-2.html,FALSE,NA
