Vote ID,Session ID,Wikisurvey ID,Winner ID,Winner Text,Loser ID,Loser Text,Prompt ID,Appearance ID,Left Choice ID,Right Choice ID,Created at,Updated at,Response Time (s),Missing Response Time Explanation,Valid,Hashed IP Address,URL Alias,User Agent,Referrer,Widget,Info
38095003,6174342,19613,1148270,R8.3 - Acceso universal a internet y a la computación como base para el acceso a servicios bancarios y otros servicios de crédito y tramitación fiscal,1148268,R8.1 - Sistemas educativos actualizados y lucha contra la brecha digital,43055456,46879732,1148270,1148268,2020-11-24 14:40:06 UTC,2020-11-24 14:40:06 UTC,302.574,"",TRUE,edffb1674ed4e49cc2c204f8c1ec1192,ODS8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",DIRECT_VISIT,FALSE,NA
38095004,6174342,19613,1148271,R8.4 - Garantizar que las materias primas de la electrónica y tecnologías digitales no proceden de mano de obra esclava,1148269,"R8.2 - Innovación eficiente y productiva para el crecimiento económico, con especial énfasis en la generación de valor añadido y de nuevos productos y servicios",43055457,46879762,1148271,1148269,2020-11-24 14:40:15 UTC,2020-11-24 14:40:15 UTC,8.544,"",TRUE,edffb1674ed4e49cc2c204f8c1ec1192,ODS8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",DIRECT_VISIT,FALSE,NA
38095005,6174342,19613,1148268,R8.1 - Sistemas educativos actualizados y lucha contra la brecha digital,1148271,R8.4 - Garantizar que las materias primas de la electrónica y tecnologías digitales no proceden de mano de obra esclava,43055458,46879764,1148268,1148271,2020-11-24 14:40:20 UTC,2020-11-24 14:40:20 UTC,4.399,"",TRUE,edffb1674ed4e49cc2c204f8c1ec1192,ODS8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",DIRECT_VISIT,FALSE,NA
38095006,6174342,19613,1148268,R8.1 - Sistemas educativos actualizados y lucha contra la brecha digital,1148271,R8.4 - Garantizar que las materias primas de la electrónica y tecnologías digitales no proceden de mano de obra esclava,43055458,46879765,1148268,1148271,2020-11-24 14:40:24 UTC,2020-11-24 14:40:24 UTC,3.902,"",TRUE,edffb1674ed4e49cc2c204f8c1ec1192,ODS8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",DIRECT_VISIT,FALSE,NA
38095007,6174342,19613,1148271,R8.4 - Garantizar que las materias primas de la electrónica y tecnologías digitales no proceden de mano de obra esclava,1148268,R8.1 - Sistemas educativos actualizados y lucha contra la brecha digital,43055459,46879766,1148271,1148268,2020-11-24 14:40:26 UTC,2020-11-24 14:40:26 UTC,1.718,"",TRUE,edffb1674ed4e49cc2c204f8c1ec1192,ODS8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",DIRECT_VISIT,FALSE,NA
38095008,6174342,19613,1148268,R8.1 - Sistemas educativos actualizados y lucha contra la brecha digital,1148269,"R8.2 - Innovación eficiente y productiva para el crecimiento económico, con especial énfasis en la generación de valor añadido y de nuevos productos y servicios",43055460,46879767,1148269,1148268,2020-11-24 14:40:31 UTC,2020-11-24 14:40:31 UTC,4.873,"",TRUE,edffb1674ed4e49cc2c204f8c1ec1192,ODS8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",DIRECT_VISIT,FALSE,NA
38095009,6174342,19613,1148268,R8.1 - Sistemas educativos actualizados y lucha contra la brecha digital,1148269,"R8.2 - Innovación eficiente y productiva para el crecimiento económico, con especial énfasis en la generación de valor añadido y de nuevos productos y servicios",43055454,46879768,1148268,1148269,2020-11-24 14:40:34 UTC,2020-11-24 14:40:34 UTC,2.84,"",TRUE,edffb1674ed4e49cc2c204f8c1ec1192,ODS8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",DIRECT_VISIT,FALSE,NA
38095010,6174342,19613,1148268,R8.1 - Sistemas educativos actualizados y lucha contra la brecha digital,1148270,R8.3 - Acceso universal a internet y a la computación como base para el acceso a servicios bancarios y otros servicios de crédito y tramitación fiscal,43055461,46879769,1148268,1148270,2020-11-24 14:40:40 UTC,2020-11-24 14:40:40 UTC,5.227,"",TRUE,edffb1674ed4e49cc2c204f8c1ec1192,ODS8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",DIRECT_VISIT,FALSE,NA
38095011,6174342,19613,1148268,R8.1 - Sistemas educativos actualizados y lucha contra la brecha digital,1148269,"R8.2 - Innovación eficiente y productiva para el crecimiento económico, con especial énfasis en la generación de valor añadido y de nuevos productos y servicios",43055454,46879770,1148268,1148269,2020-11-24 14:40:47 UTC,2020-11-24 14:40:47 UTC,7.21,"",TRUE,edffb1674ed4e49cc2c204f8c1ec1192,ODS8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",DIRECT_VISIT,FALSE,NA
38095012,6174342,19613,1148271,R8.4 - Garantizar que las materias primas de la electrónica y tecnologías digitales no proceden de mano de obra esclava,1148269,"R8.2 - Innovación eficiente y productiva para el crecimiento económico, con especial énfasis en la generación de valor añadido y de nuevos productos y servicios",43055455,46879771,1148269,1148271,2020-11-24 14:40:51 UTC,2020-11-24 14:40:51 UTC,3.152,"",TRUE,edffb1674ed4e49cc2c204f8c1ec1192,ODS8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",DIRECT_VISIT,FALSE,NA
38095013,6174342,19613,1148271,R8.4 - Garantizar que las materias primas de la electrónica y tecnologías digitales no proceden de mano de obra esclava,1148269,"R8.2 - Innovación eficiente y productiva para el crecimiento económico, con especial énfasis en la generación de valor añadido y de nuevos productos y servicios",43055457,46879773,1148271,1148269,2020-11-24 14:41:13 UTC,2020-11-24 14:41:13 UTC,7.499,"",FALSE,edffb1674ed4e49cc2c204f8c1ec1192,ODS8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",DIRECT_VISIT,FALSE,NA
38095014,6174342,19613,1148271,R8.4 - Garantizar que las materias primas de la electrónica y tecnologías digitales no proceden de mano de obra esclava,1148270,R8.3 - Acceso universal a internet y a la computación como base para el acceso a servicios bancarios y otros servicios de crédito y tramitación fiscal,43055463,46879774,1148271,1148270,2020-11-24 14:41:16 UTC,2020-11-24 14:41:16 UTC,2.877,"",TRUE,edffb1674ed4e49cc2c204f8c1ec1192,ODS8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",DIRECT_VISIT,FALSE,NA
38095015,6174342,19613,1148270,R8.3 - Acceso universal a internet y a la computación como base para el acceso a servicios bancarios y otros servicios de crédito y tramitación fiscal,1148271,R8.4 - Garantizar que las materias primas de la electrónica y tecnologías digitales no proceden de mano de obra esclava,43055462,46879775,1148270,1148271,2020-11-24 14:41:18 UTC,2020-11-24 14:41:18 UTC,1.307,"",TRUE,edffb1674ed4e49cc2c204f8c1ec1192,ODS8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",DIRECT_VISIT,FALSE,NA
38095016,6174342,19613,1148271,R8.4 - Garantizar que las materias primas de la electrónica y tecnologías digitales no proceden de mano de obra esclava,1148269,"R8.2 - Innovación eficiente y productiva para el crecimiento económico, con especial énfasis en la generación de valor añadido y de nuevos productos y servicios",43055455,46879776,1148269,1148271,2020-11-24 14:41:21 UTC,2020-11-24 14:41:21 UTC,2.644,"",TRUE,edffb1674ed4e49cc2c204f8c1ec1192,ODS8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",DIRECT_VISIT,FALSE,NA
38095017,6174342,19613,1148270,R8.3 - Acceso universal a internet y a la computación como base para el acceso a servicios bancarios y otros servicios de crédito y tramitación fiscal,1148271,R8.4 - Garantizar que las materias primas de la electrónica y tecnologías digitales no proceden de mano de obra esclava,43055463,46879777,1148271,1148270,2020-11-24 14:41:23 UTC,2020-11-24 14:41:23 UTC,2.027,"",TRUE,edffb1674ed4e49cc2c204f8c1ec1192,ODS8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",DIRECT_VISIT,FALSE,NA
38095018,6174342,19613,1148271,R8.4 - Garantizar que las materias primas de la electrónica y tecnologías digitales no proceden de mano de obra esclava,1148269,"R8.2 - Innovación eficiente y productiva para el crecimiento económico, con especial énfasis en la generación de valor añadido y de nuevos productos y servicios",43055455,46879778,1148269,1148271,2020-11-24 14:41:27 UTC,2020-11-24 14:41:27 UTC,3.395,"",TRUE,edffb1674ed4e49cc2c204f8c1ec1192,ODS8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",DIRECT_VISIT,FALSE,NA
38095019,6174342,19613,1148268,R8.1 - Sistemas educativos actualizados y lucha contra la brecha digital,1148270,R8.3 - Acceso universal a internet y a la computación como base para el acceso a servicios bancarios y otros servicios de crédito y tramitación fiscal,43055456,46879779,1148270,1148268,2020-11-24 14:41:28 UTC,2020-11-24 14:41:28 UTC,1.271,"",TRUE,edffb1674ed4e49cc2c204f8c1ec1192,ODS8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",DIRECT_VISIT,FALSE,NA
38095020,6174342,19613,1148270,R8.3 - Acceso universal a internet y a la computación como base para el acceso a servicios bancarios y otros servicios de crédito y tramitación fiscal,1148269,"R8.2 - Innovación eficiente y productiva para el crecimiento económico, con especial énfasis en la generación de valor añadido y de nuevos productos y servicios",43055464,46879780,1148270,1148269,2020-11-24 14:41:34 UTC,2020-11-24 14:41:34 UTC,5.388,"",TRUE,edffb1674ed4e49cc2c204f8c1ec1192,ODS8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",DIRECT_VISIT,FALSE,NA
38095021,6174342,19613,1148271,R8.4 - Garantizar que las materias primas de la electrónica y tecnologías digitales no proceden de mano de obra esclava,1148270,R8.3 - Acceso universal a internet y a la computación como base para el acceso a servicios bancarios y otros servicios de crédito y tramitación fiscal,43055462,46879781,1148270,1148271,2020-11-24 14:41:38 UTC,2020-11-24 14:41:38 UTC,3.678,"",TRUE,edffb1674ed4e49cc2c204f8c1ec1192,ODS8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",DIRECT_VISIT,FALSE,NA
38095022,6174342,19613,1148271,R8.4 - Garantizar que las materias primas de la electrónica y tecnologías digitales no proceden de mano de obra esclava,1148269,"R8.2 - Innovación eficiente y productiva para el crecimiento económico, con especial énfasis en la generación de valor añadido y de nuevos productos y servicios",43055457,46879782,1148271,1148269,2020-11-24 14:41:43 UTC,2020-11-24 14:41:43 UTC,5.258,"",TRUE,edffb1674ed4e49cc2c204f8c1ec1192,ODS8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",DIRECT_VISIT,FALSE,NA
