Record Type,Skip ID,Appearance ID,Session ID,Wikisurvey ID,Left Choice ID,Left Choice Text,Right Choice ID,Right Choice Text,Prompt ID,Reason,Created at,Updated at,Response Time (s),Missing Response Time Explanation,Valid,Hashed IP Address,URL Alias,User Agent,Referrer,Widget,Info
Bounce,NA,46561839,6156487,19761,1152644,R8.1 - Updated education systems and fight against digital breach,1152647,R8.4 - Ensure that raw materials for electronics and digital technologies do not come from slave labor,43197080,NA,2020-11-09 18:46:54 UTC,2020-11-09 18:46:54 UTC,NA,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15",REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46565256,6157310,19761,1152646,R8.3 - Universal access to the internet and computers as a basis for access to banking services and other credit and tax processing services,1152645,"R8.2 - Efficient and productive innovation for economic growth, with special emphasis on generating added value and new products and services",43197081,NA,2020-11-10 17:34:17 UTC,2020-11-10 17:34:17 UTC,NA,"",TRUE,aaba10a91c297785650671ebe89f4d73,SDG8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15",REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46567935,6157502,19761,1152644,R8.1 - Updated education systems and fight against digital breach,1152645,"R8.2 - Efficient and productive innovation for economic growth, with special emphasis on generating added value and new products and services",43197082,NA,2020-11-10 21:03:40 UTC,2020-11-10 21:03:40 UTC,NA,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG8,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.193 Safari/537.36",REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46901134,6176395,19761,1152645,"R8.2 - Efficient and productive innovation for economic growth, with special emphasis on generating added value and new products and services",1152647,R8.4 - Ensure that raw materials for electronics and digital technologies do not come from slave labor,43197083,NA,2020-11-25 21:49:26 UTC,2020-11-25 21:49:26 UTC,NA,"",TRUE,0ce6b8391e9c96ba102bee0fd9abfbba,SDG8,Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/),REFERRER_NOT_FOUND,FALSE,NA
Stopped_Voting_Or_Skipping,NA,48104196,6217394,19761,1152645,"R8.2 - Efficient and productive innovation for economic growth, with special emphasis on generating added value and new products and services",1152644,R8.1 - Updated education systems and fight against digital breach,43197087,NA,2020-11-30 18:54:01 UTC,2020-11-30 18:54:01 UTC,NA,"",TRUE,a4823ac651c8ade23724f313d4d1863e,SDG8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.67 Safari/537.36",http://dasci.es/,FALSE,NA
Stopped_Voting_Or_Skipping,NA,48753394,6243666,19761,1152646,R8.3 - Universal access to the internet and computers as a basis for access to banking services and other credit and tax processing services,1152645,"R8.2 - Efficient and productive innovation for economic growth, with special emphasis on generating added value and new products and services",43197081,NA,2020-12-19 13:23:04 UTC,2020-12-19 13:23:04 UTC,NA,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",DIRECT_VISIT,FALSE,NA
