Wikisurvey ID,Idea ID,Idea Text,Wins,Losses,Times involved in Cant Decide,Score,User Submitted,Session ID,Created at,Last Activity,Active,Appearances on Left,Appearances on Right,Info
19617,1148287,R12.2 - Big data e inteligencia artificial sobre series de datos de procesos de producción y pautas de consumo,43,17,0,70.9677,FALSE,6143730,2020-10-26 16:30:35 UTC,2021-01-07 17:43:05 UTC,TRUE,47,51,NA
19617,1148286,"R12.1 - Tecnologías IoT en factorías de producción, redes de suministro y lugares habituales de consumo para una mayor sensorización de los procesos de producción y hábitos de consumo",32,22,10,58.9286,FALSE,6143730,2020-10-26 16:30:35 UTC,2021-01-07 17:43:02 UTC,TRUE,46,47,NA
19617,1148290,"R12.5 - Sistemas de ayuda a la decisión, sistemas de recomendaciones y blockchain para mejorar la sostenibilidad en procesos productivos y una mayor transparencia en la comunicación entre productores y consumidores",26,27,4,49.0909,FALSE,6143730,2020-10-26 16:30:35 UTC,2021-01-07 17:43:01 UTC,TRUE,44,51,NA
19617,1148288,R12.3 - Gemelos digitales que permitan el estudio de la sostenibilidad y la experimentación “virtual” sobre procesos de producción,25,33,5,43.3333,FALSE,6143730,2020-10-26 16:30:35 UTC,2021-01-07 17:42:56 UTC,TRUE,45,40,NA
19617,1148289,R12.4 - Realidad aumentada para informar a los consumidores de los aspectos de sostenibilidad relacionados con los productos que consumen,18,45,3,29.2308,FALSE,6143730,2020-10-26 16:30:35 UTC,2021-01-07 17:43:05 UTC,TRUE,53,46,NA
