Record Type,Skip ID,Appearance ID,Session ID,Wikisurvey ID,Left Choice ID,Left Choice Text,Right Choice ID,Right Choice Text,Prompt ID,Reason,Created at,Updated at,Response Time (s),Missing Response Time Explanation,Valid,Hashed IP Address,URL Alias,User Agent,Referrer,Widget,Info
Bounce,NA,46561844,6156492,19765,1152662,"R12.1 - IoT technologies in production factories, supply networks and common places of consumption for greater sensorization of production processes and consumption habits",1152666,"R12.5 - Decision support systems, recommender systems and blockchain to improve sustainability in production processes and greater transparency in communication between producers and consumers",43197144,NA,2020-11-09 18:48:43 UTC,2020-11-09 18:48:43 UTC,NA,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15",REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46567978,6157514,19765,1152663,R12.2 - Big data and artificial intelligence on data series of production processes and consumption patterns,1152666,"R12.5 - Decision support systems, recommender systems and blockchain to improve sustainability in production processes and greater transparency in communication between producers and consumers",43197145,NA,2020-11-10 21:10:10 UTC,2020-11-10 21:10:10 UTC,NA,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG12,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.193 Safari/537.36",REFERRER_NOT_FOUND,FALSE,NA
Bounce,NA,46901121,6176382,19765,1152662,"R12.1 - IoT technologies in production factories, supply networks and common places of consumption for greater sensorization of production processes and consumption habits",1152664,"R12.3 - Digital twins that allow the study of sustainability and ""virtual"" experimentation on production processes",43197146,NA,2020-11-25 21:47:30 UTC,2020-11-25 21:47:30 UTC,NA,"",TRUE,0ce6b8391e9c96ba102bee0fd9abfbba,SDG12,Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/),REFERRER_NOT_FOUND,FALSE,NA
Stopped_Voting_Or_Skipping,NA,48104235,6217402,19765,1152666,"R12.5 - Decision support systems, recommender systems and blockchain to improve sustainability in production processes and greater transparency in communication between producers and consumers",1152664,"R12.3 - Digital twins that allow the study of sustainability and ""virtual"" experimentation on production processes",43197149,NA,2020-11-30 18:58:07 UTC,2020-11-30 18:58:07 UTC,NA,"",TRUE,a4823ac651c8ade23724f313d4d1863e,SDG12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.67 Safari/537.36",http://dasci.es/,FALSE,NA
Skip,2686729,48753437,6243673,19765,1152664,"R12.3 - Digital twins that allow the study of sustainability and ""virtual"" experimentation on production processes",1152662,"R12.1 - IoT technologies in production factories, supply networks and common places of consumption for greater sensorization of production processes and consumption habits",43197156,like_both,2020-12-19 13:31:37 UTC,2020-12-19 13:31:37 UTC,8.019,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",DIRECT_VISIT,FALSE,NA
Stopped_Voting_Or_Skipping,NA,48753441,6243673,19765,1152663,R12.2 - Big data and artificial intelligence on data series of production processes and consumption patterns,1152664,"R12.3 - Digital twins that allow the study of sustainability and ""virtual"" experimentation on production processes",43197158,NA,2020-12-19 13:31:48 UTC,2020-12-19 13:31:48 UTC,NA,"",TRUE,b53150a67d3ff4c1134ab165d3d5ac09,SDG12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",DIRECT_VISIT,FALSE,NA
